SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
2115KLM1R,2115KLM1R,MELI BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,50,50,0,,,,0,0,0,,,,,,,50,50,0,sim
2115MPP1K,2115MPP1K,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,14,14,35,1,1,0,,,,,,,15,44,35,sim
2115MSQ1K,2115MSQS1K,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,0,250,0,sim
2115MSQS1K,2115MSQS1K,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,0,240,0,sim
2115MWD1P,2115MWD1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,2,0,sim
2115MXL2P,2115MXL2P,MELI BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,124,1,,,,,,,50,50,,,,,174,174,1,sim
2115MYI1A,2115MYI1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,,,,,,,,,,,,,,49,49,0,,,,49,992,0,sim
2115MYI1P,2115MYI1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,4,301,0,0,0,,,,,,,4,7,301,sim
2115MYI1P_FBA,,AMAZON BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417,417,26,,,,417,417,26,sim
2115MYL1A,2115MYL1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,113,113,1,,,,0,0,0,49,49,1,,,,162,494,2,sim
2115NAO1A,2115NAO1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,,,,,72,72,0,,,,,,,,0,,,,,72,991,0,sim
2115NAO1P,2115NAO1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,,,,,,,,168,168,4,0,0,0,,,,,,,168,937,4,sim
